name_genres,title,release_date,release_year,popularity,vote_count,vote_average,names_actors,name_director,budget,revenue,return
"['Comedy', 'Family']",Love the Coopers,2015-11-12,2015,5.660649,169.0,5.4,"['Steve Martin', 'Diane Keaton', 'John Goodman', 'Alan Arkin', 'Olivia Wilde', 'Ed Helms', 'Amanda Seyfried', 'Marisa Tomei', 'Jake Lacy', 'Anthony Mackie', 'June Squibb', 'Alex Borstein', 'Jon Tenney', 'Michelle Veintimilla', 'Timothée Chalamet']",Jessie Nelson,17000000.0,42426912.0,2.495700705882353
['Documentary'],One Survivor Remembers,1996-06-19,1996,0.516589,2.0,4.0,[],Kary Antholis,0.0,0.0,0.0
"['Comedy', 'Family']",Daddy Day Camp,2007-08-08,2007,5.414213,94.0,4.4,"['Cuba Gooding Jr.', 'Tamala Jones', 'Paul Rae', 'Lochlyn Munro', 'Richard Gant', 'Talon G. Ackerman']",Fred Savage,6000000.0,18197398.0,3.0328996666666668
"['Thriller', 'Horror']",The Midnight Game,2013-03-02,2013,1.64194,6.0,2.4,"['Renee Olstead', 'Shelby Young', 'Guy Wilson', 'Valentina de Angelis', 'Spencer Daniels']",A.D. Calvo,0.0,0.0,0.0
"['Drama', 'Family', 'Foreign']",Cosas insignificantes,2008-09-23,2008,1.195679,5.0,4.3,"['Paulina Gaitán', 'Carmelo Gómez', 'Blanca Guerra', 'Lucía Jiménez', 'Fernando Luján', 'Arturo Ríos', 'Bárbara Mori']",Andrea Martínez,0.0,0.0,0.0
"['Comedy', 'Crime', 'Adventure']",Sightseers,2012-11-30,2012,9.921876,187.0,6.2,"['Alice Lowe', 'Steve Oram', 'Eileen Davies', 'Roger Michael', 'Tony Way', ""Seamus O'Neill"", 'Monica Dolan', 'Jonathan Aris', 'Aymen Hamdouchi', 'Tom Meeten', 'Kali Peacock', 'Kenneth Hadley', 'Stephanie Jacob', 'Christine Talbot', 'Richard Lumsden', 'Dominic Applewhite', 'Sara Stewart', 'Richard Glover', 'Rachel Austin', 'Gemma Lise Thornton', 'Alana Burnett', 'Lisa-Marie Hoctor', 'Susan McCardle', 'Kelly Munro-Fawcett', 'Samantha Stone', 'Louisa Farrant', 'Gareth Jones', 'Sara Dee', 'Smurf', 'Ged', 'Lucy Russell', 'Mark Kempner', 'Gareth Tunley']",Ben Wheatley,0.0,61782.0,0.0
"['Animation', 'Drama']",Alois Nebel,2011-09-04,2011,1.298504,8.0,6.5,"['Miroslav Krobot', 'Marie Ludvíková', 'Karel Roden', 'Leos Noha', 'Tereza Voříšková', 'Alois Švehlík', 'David Švehlík', 'Ondřej Malý', 'Ján Sedal', 'Marek Daniel', 'Simona Babčáková', 'Ivan Trojan']",Tomáš Luňák,0.0,0.0,0.0
"['Animation', 'Family', 'Fantasy', 'Romance']",Barbie Fairytopia: Magic of the Rainbow,2007-01-01,2007,5.01763,53.0,6.2,"['Alistair Abell', 'Sharon Alexander', 'Kathleen Barr', 'Andrew Francis']",William Lau,0.0,0.0,0.0
"['Action', 'Adventure', 'Comedy']",The Dukes of Hazzard: The Beginning,2007-03-04,2007,3.479526,46.0,4.8,"['Jonathan Bennett', 'Randy Wayne', 'April Scott', 'Joel David Moore', 'Harland Williams', 'Sherilyn Fenn', 'Christopher McDonald', 'Willie Nelson', 'Gary Cole']",Robert Berlinger,0.0,0.0,0.0
"['War', 'Adventure', 'Drama', 'Romance']",The Four Feathers,2002-09-08,2002,6.894153,164.0,6.5,"['Heath Ledger', 'Wes Bentley', 'Kate Hudson', 'Djimon Hounsou', 'Michael Sheen', 'Kris Marshall', 'Mohamed Bouich', 'Campbell Brown', 'Daniel Caltagirone', 'James Cosmo', 'Andy Coumbe', 'Angela Douglas', 'Karim Doukkali', 'Lucy Gordon', 'Megan Hallin', 'Megan Hallin', 'Nick Holder', 'Alex Jennings', 'Alexandra Kabi', 'Julio Lewis', 'Craig McDonald', 'Lionel Mahop', 'Richard Manlove', 'Manar Mohamed', 'Marouazi Mohammed', 'Nider Mohamed', 'Anna Diafe Ndiaye', 'Medoune Ndiaye', 'Mohamen Mehdi Ouazanni', 'Charles Pemberton', 'Rupert Penry-Jones', 'Tim Pigott-Smith', 'Mohamed Quatib', 'Laila Rouass', 'Hugh Ross', 'Thioumbe Samb', 'Michael Sheen', 'Mark Tonderai', 'Alek Wek', 'Alex Zorbas', 'Bruce Lawrence', 'Rhidian Bridge', 'Christian Coulson', 'Ray Donn', 'James Embree', 'Natalie Hallam', 'Hugo Hedley', 'Serena Lorien', 'Ben Uttley']",Shekhar Kapur,35000000.0,29882645.0,0.8537898571428572
"['Music', 'Drama', 'Comedy']",Beynelmilel,2006-12-29,2006,0.851274,7.0,6.1,"['Cezmi Baskın', 'Özgü Namal', 'Umut Kurt', 'Bahri Beyat', 'Nazmi Kırık', 'Oktay Kaynarca', 'Meral Okay']",Sırrı Süreyya Önder,0.0,0.0,0.0
['Documentary'],I am Fishead,2011-09-11,2011,0.042368,1.0,4.0,"['Robert D. Hare', 'Peter Coyote', 'Paul Babiak', 'Philip G. Zimbardo', 'Christopher J. Lane', 'Gary Greenberg', 'Charles Barber', 'Václav Havel', 'Nicholas A. Christakis', 'John Perry Barlow', 'Byron Woollen']",Vaclav Dejcmar,0.0,0.0,0.0
['Drama'],5 Flights Up,2014-09-05,2014,9.383088,92.0,5.9,"['Morgan Freeman', 'Diane Keaton', 'Carrie Preston', 'Cynthia Nixon', 'Alysia Reiner', 'Josh Pais', 'Claire van der Boom', 'Sterling Jerins', 'Liza J. Bennett', 'Gary Wilmes', 'Joanna Adler', 'Jimmy Palumbo', 'Hani Furstenberg', 'Eric Sheffer Stevens', 'Hannah Dunne', 'Grace Rex', 'Maddie Corman', 'Miriam Shor', 'Jackie Hoffman', 'Jordan Baker', 'Violet Krumbein', 'Nadia Gan', 'Jack Dimich', 'Ilana Levine', 'Katrina E. Perkins', 'Anjili Pal', 'Marcia DeBonis', 'Henry Kelemen', 'Diane Ciesla', 'Jane Fergus', 'Ted Sod', 'Gregg Micheals']",Richard Loncraine,6000000.0,1020921.0,0.1701535
['Documentary'],How Strange to be Named Federico: Scola Narrates Fellini,2013-09-12,2013,1.23031,7.0,7.4,"['Federico Fellini', 'Vittorio Viviani', ""Ernesto D'Argenio"", 'Antonella Attili']",Ettore Scola,96.0,0.0,0.0
"['Drama', 'Romance']",An Afternoon,2014-10-06,2014,0.345031,1.0,3.5,"['Ulrik Windfeldt-Schmidt', 'Jacob Ottensten']",Søren Green,0.0,0.0,0.0
"['Fantasy', 'Animation', 'Family']",The Legend of Secret Pass,2010-12-05,2010,0.334532,1.0,3.5,"['Ron Perlman', 'Joe Pantoliano', 'Frankie Muniz', 'David Cross', 'Cheryl Hines', 'Christy Carlson Romano', 'Michael Chiklis', 'Graham Greene', 'Shelley Berman', 'Debi Derryberry', 'Kim Mai Guest', 'Billy Jones']",Steve Trenbirth,0.0,0.0,0.0
"['Drama', 'Romance']",Delta of Venus,1995-06-09,1995,1.099187,5.0,3.3,"['Audie England', 'Costas Mandylor', 'Bernard Zette', 'Eric Da Silva', 'Rory Campbell', 'Raven Snow', 'Adewale Akinnuoye-Agbaje']",Zalman King,0.0,62949.0,0.0
"['Fantasy', 'Animation', 'Action', 'Science Fiction']",First Squad: The Moment of Truth,2009-05-13,2009,1.803186,14.0,5.6,"['Sergei Aisman', 'Michael Beskorovainy', 'Елена Чебатуркина', 'Дамир Эльдаров', 'Olga Golovanova', 'Aleksandr Gruzdev', 'Artem Kipnis', 'Рудольф Панков', 'Михаил Тихонов', 'Nikita Prozorovsky', 'Irina Savina', 'Людмила Шувалова']",Yoshiharu Ashino,0.0,0.0,0.0
['Drama'],Ava,2017-06-21,2017,0.979347,13.0,5.7,"['Noée Abita', 'Laure Calamy', 'Juan Cano', 'Tamara Cano']",Léa Mysius,0.0,0.0,0.0
"['Thriller', 'Horror']",Cam2Cam,2014-08-22,2014,1.120312,14.0,3.8,"['Tammin Sursok', 'Ben Wiggins', 'Sarah Bonrepaux', 'Jade Tailor', 'Russell Geoffrey Banks', 'Alessa Aichinger']",Joel Soisson,0.0,0.0,0.0
"['Music', 'Drama']",Comedian Harmonists,1997-12-25,1997,0.799079,13.0,6.7,"['Ben Becker', 'Heino Ferch', 'Ulrich Noethen', 'Heinrich Schafmeister', 'Max Tidof', 'Kai Wiesinger', 'Meret Becker', 'Katja Riemann', 'Rolf Hoppe', 'Dana Vávrová']",Joseph Vilsmaier,0.0,0.0,0.0
['Drama'],1001 Grams,2014-09-07,2014,0.994875,11.0,5.7,"['Ane Dahl Torp', 'Laurent Stocker', 'Magne-Håvard Brekke', 'Per Christian Ellefsen', 'Peter Hudson', 'Daniel Drewes', 'Hildegun Riise', 'Stein Winge', 'Didier Flamand', 'Dinara Drukarova', 'Christian Erickson', 'Magne-Håvard Brekke', 'David Gasman', 'Christophe Reymond', ""Emile Abossolo M'bo"", 'Miguel Eduardo Cueva', 'Sabine Pakora', 'Aurélie Bargème', 'Valérie Leroy', 'Flora Djien', 'Torsten Knippertz', 'Joseph Rezwin']",Bent Hamer,0.0,0.0,0.0
"['Comedy', 'Drama', 'Romance']",Kiss Me Again,2006-04-28,2006,1.649473,5.0,4.6,"['Jeremy London', 'Katheryn Winnick', 'Siri Baruc', 'Elisa Donovan', 'Darrell Hammond', 'Mirelly Taylor', 'Fred Armisen', 'Evan Seinfeld', 'Adam Nee', 'Alexis Iacono']",William Tyler Smith,0.0,0.0,0.0
"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",The Double Hour,2009-10-09,2009,2.382068,26.0,6.3,"['Kseniya Rappoport', 'Filippo Timi', 'Antonia Truppo', 'Gaetano Bruno', 'Fausto Russo Alesi', 'Michele Di Mauro', 'Lorenzo Gioielli', 'Lidia Vitale', 'Giampiero Judica', 'Roberto Accornero', 'Lucia Poli', 'Giorgio Colangeli', 'Deborah Bernuzzi', 'Barbara Braconi', 'Federica Cassini']",Giuseppe Capotondi,3906840.0,4300000.0,1.100633760276848
"['Drama', 'Thriller', 'Horror']",Ratter,2015-01-24,2015,5.78016,102.0,5.1,"['Ashley Benson', 'Matt McGorry', 'Michael William Freeman', 'Rebecca Naomi Jones', 'Alex Cranmer', 'Karl Glusman', 'Kaili Vernoff', 'Jeremy Fiorentino', 'John Anderson', 'Tali Custer']",Branden Kramer,500000.0,0.0,0.0
"['Thriller', 'Crime', 'Drama']",The Bank Job,2008-02-28,2008,8.732701,708.0,6.6,"['Jason Statham', 'Saffron Burrows', 'Stephen Campbell Moore', 'Daniel Mays', 'James Faulkner', 'Alki David', 'Michael Jibson', 'Georgia Taylor', 'Richard Lintern', 'Peter Bowles', 'Alistair Petrie', 'Hattie Morahan', 'Julian Lewis Jones', 'Andrew Brooke', 'Rupert Frazer', 'Keeley Hawes', 'Don Gallagher', 'Craig Fairbrass', 'Gerard Horan', 'David Suchet', 'Peter de Jersey', 'Colin Salmon', 'Sharon Maughan', 'Angus Wright', 'Dylan Charles', 'Julian Firth', 'Antony Gabriel']",Roger Donaldson,20000000.0,64822796.0,3.2411398
"['Drama', 'Horror']",The Woman,2011-10-14,2011,5.895968,145.0,5.9,"['Pollyanna McIntosh', 'Sean Bridgers', 'Angela Bettis', 'Lauren Ashley Carter', 'Zach Rand', 'Shyla Molhsen', 'Carlee Baker', 'Shana Barry', 'Marcia Bennett', 'Chris Krzykowshi', 'Alexa Marcigliano', 'Toomy Nelson', 'Frank Olsen', 'Lauren Petre', 'Lauren Schroeder']",Lucky McKee,0.0,0.0,0.0
"['Drama', 'History']",Miracle,2004-02-06,2004,8.248999,162.0,7.0,"['Kurt Russell', 'Patricia Clarkson', 'Noah Emmerich', 'Sean McCann', 'Kenneth Welsh', 'Eddie Cahill', ""Patrick O'Brien Demsey"", 'Michael Mantenuto', 'Fred Keating', 'Philip Maurice Hayes']",Gavin O'Connor,28000000.0,64445708.0,2.3016324285714287
"['Action', 'Comedy']",Ride Along,2014-01-07,2014,9.895752,867.0,6.1,"['Ice Cube', 'Kevin Hart', 'John Leguizamo', 'Bruce McGill', 'Tika Sumpter', 'Bryan Callen', 'Laurence Fishburne', 'Gary Owen', 'Jacob Latimore', 'Jay Pharoah', 'Benjamin Flores Jr.', 'Dragoș Bucur', 'Gary Weeks', 'Jasmine Burke', 'David Banner', 'Aaron Saxton', 'Lucius Baston', 'Tom Waite', 'Greg Rementer', 'Eric Benson', 'Anna House', 'Julie Gribble', 'John Kap', 'Anona Tolar', 'Dwayne L. Brown', 'Lou Anne Cooper', 'Keith Walters', 'James Logan', 'Chase Steven Anderson', 'Angie Stone', 'Emmanuel Hudson', 'Kenny Alfonso', 'Phillip DeVona', 'Omari Wallace', 'Sheena Kharazmi', 'Thida Penn', 'Mark Hicks', 'Joe Williams', 'William Neenan', 'Brian Oerly', 'William Horton', 'Eric Goins', 'Drew Goin', 'Elle Duncan', 'Jeff Rose']",Tim Story,25000000.0,153997819.0,6.15991276
"['Action', 'Thriller', 'Western']",Red Hill,2010-11-05,2010,3.320135,55.0,6.2,"['Ryan Kwanten', 'Steve Bisley', 'Tom E. Lewis', 'Claire van der Boom', 'Christopher Davis', 'Kevin Harrington', 'Richard Sutherland', 'Ken Radley', 'John Brumpton', 'Cliff Ellen', 'Jim Daly', 'Dom Phelan', 'Eddie Baroo', 'Tim Hughes', 'Ken Connley', 'Yesse Spence']",Patrick Hughes,0.0,0.0,0.0
"['Thriller', 'Action', 'Drama']",Merantau,2009-08-06,2009,3.20408,43.0,6.2,"['Iko Uwais', 'Sisca Jessica', 'Christine Hakim', 'Mads Koudal', 'Yusuf Aulia', 'Alex Abbad', 'Yayan Ruhian', 'Laurent Buson', 'Ratna Galih', 'Donny Alamsyah']",Gareth Evans,0.0,0.0,0.0
"['Thriller', 'Drama', 'Action', 'Crime']",Twelve,2010-07-30,2010,6.782478,99.0,6.0,"['Chace Crawford', 'Rory Culkin', '50 Cent', 'Emily Meade', 'Emma Roberts', 'Billy Magnussen', 'Esti Ginzburg', 'Jeremy Allen White', 'Philip Ettinger', 'Nico Tortorella', 'Ethan Peck', 'Zoë Kravitz', 'Jermaine Crawford', 'Alexander Flores', 'Charlie Saxton', 'Finn Wittrock', 'Erik Per Sullivan', 'Isiah Whitlock Jr.', 'Ellen Barkin', 'Kiefer Sutherland', 'Cody Horn', 'Elle Fairbanks']",Joel Schumacher,0.0,0.0,0.0
"['Drama', 'Comedy', 'Romance']",The Puffy Chair,2005-01-17,2005,0.709745,15.0,6.2,"['Mark Duplass', 'Katie Aselton', 'Rhett Wilkins']",Jay Duplass,0.0,0.0,0.0
"['Animation', 'Romance', 'Science Fiction']",Time of Eve: The Movie,2010-03-05,2010,1.768157,24.0,7.3,"['Jun Fukuyama', 'Rie Tanaka', 'Kenji Nojima', 'Yukana Nogami', 'Michio Nakao', 'Miki Itou', 'Motomu Kiyokawa', 'Miyuki Sawashiro', 'Tomokazu Sugita', 'Rina Satou']",Yasuhiro Yoshiura,0.0,0.0,0.0
"['Fantasy', 'Science Fiction']",A Chinese Ghost Story,2011-04-21,2011,0.820611,13.0,5.5,"['Louis Koo', 'Liu Yifei', 'Yu Shao-Qun', 'Fan Siu-Wong', 'Wang Danyi Li', 'Kara Hui', 'Gong Xin-Liang', 'Lin Peng', 'Li Jing', 'Elvis Tsui', 'Fung Hak-On', 'Alan Chui Chung-San', 'Wang Fei']",Wilson Yip,0.0,0.0,0.0
"['Horror', 'Thriller']",Stay Alive,2006-03-24,2006,4.854551,157.0,5.3,"['Jon Foster', 'Samaire Armstrong', 'Frankie Muniz', 'Jimmi Simpson', 'Wendell Pierce', 'Milo Ventimiglia', 'Sophia Bush', 'Adam Goldberg', 'Billy Slaughter', 'Nicole Oppermann', 'April Wood', 'Rio Hackford', 'Billy Louviere', 'Monica Monica', 'Maria Kalinina', 'Rick Green', 'J. Richey Nash', 'Lauren Lorbeck', 'Veronica Mosgrove', 'James Haven']",William Brent Bell,9000000.0,27105095.0,3.011677222222222
